Simulation Time,Conveyor:Statistics:PartsMinTime,Pick And Place Process:Statistics:PartsMinTime,Conveyor #2:Statistics:PartsMinTime,Pick And Place Process #2:Statistics:PartsMinTime,Conveyor #3:Statistics:PartsMinTime,Pick And Place Process #3:Statistics:PartsMinTime,Conveyor #4:Statistics:PartsMinTime,Pick And Place Process #4:Statistics:PartsMinTime,Conveyor #5:Statistics:PartsMinTime,Pick And Place Process #5:Statistics:PartsMinTime,Conveyor #6:Statistics:PartsMinTime,Pick And Place Process #6:Statistics:PartsMinTime,Conveyor #7:Statistics:PartsMinTime,Conveyor #8:Statistics:PartsMinTime,Conveyor:Statistics:PartsMaxTime,Pick And Place Process:Statistics:PartsMaxTime,Conveyor #2:Statistics:PartsMaxTime,Pick And Place Process #2:Statistics:PartsMaxTime,Conveyor #3:Statistics:PartsMaxTime,Pick And Place Process #3:Statistics:PartsMaxTime,Conveyor #4:Statistics:PartsMaxTime,Pick And Place Process #4:Statistics:PartsMaxTime,Conveyor #5:Statistics:PartsMaxTime,Pick And Place Process #5:Statistics:PartsMaxTime,Conveyor #6:Statistics:PartsMaxTime,Pick And Place Process #6:Statistics:PartsMaxTime,Conveyor #7:Statistics:PartsMaxTime,Conveyor #8:Statistics:PartsMaxTime,Conveyor:Statistics:PartsTotalTime,Pick And Place Process:Statistics:PartsTotalTime,Conveyor #2:Statistics:PartsTotalTime,Pick And Place Process #2:Statistics:PartsTotalTime,Conveyor #3:Statistics:PartsTotalTime,Pick And Place Process #3:Statistics:PartsTotalTime,Conveyor #4:Statistics:PartsTotalTime,Pick And Place Process #4:Statistics:PartsTotalTime,Conveyor #5:Statistics:PartsTotalTime,Pick And Place Process #5:Statistics:PartsTotalTime,Conveyor #6:Statistics:PartsTotalTime,Pick And Place Process #6:Statistics:PartsTotalTime,Conveyor #7:Statistics:PartsTotalTime,Conveyor #8:Statistics:PartsTotalTime
1588,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,618.4765423,1.150135193,10995.30288,0,8463.13636,0,5990.847696,0,5516.111327,0,5309.46604,0,5922.116338,0,10082.74055,10.35121674
1589,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,618.4765423,1.150135193,11003.30288,0,8469.13636,0,5995.847696,0,5521.111327,0,5318.46604,0,5932.116338,0,10097.74055,10.35121674
1590,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,618.4765423,1.150135193,11011.30288,0,8474.848091,0,6000.847696,0,5526.111327,0,5327.46604,0,5942.116338,0,10112.74055,10.35121674
1591,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,618.4765423,1.150135193,11019.30288,0,8479.848091,0,6005.847696,0,5531.256693,0,5336.46604,0,5952.116338,0,10127.74055,10.35121674
1592,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11027.30288,0,8484.848091,0,6010.847696,0,5536.256693,0,5345.46604,0,5962.116338,0,10142.48097,10.35121674
1593,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11034.93166,0,8489.848091,0,6015.847696,0,5541.256693,0,5354.46604,0,5972.116338,0,10156.48097,10.35121674
1594,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11041.93166,0,8494.848091,0,6021.120947,0,5546.256693,0,5363.46604,0,5982.116338,0,10170.48097,10.35121674
1595,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11048.93166,0,8499.848091,0,6026.120947,0,5551.256693,0,5372.46604,0,5992.116338,0,10184.48097,10.35121674
1596,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11055.93166,0,8504.848091,0,6031.120947,0,5556.256693,0,5381.46604,0,6002.116338,0,10198.48097,10.35121674
1597,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11062.93166,0,8509.848091,0,6036.120947,0,5561.256693,0,5390.46604,0,6012.116338,0,10212.48097,10.35121674
1598,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11069.93166,0,8515.63636,0,6041.120947,0,5566.256693,0,5399.46604,0,6022.116338,0,10226.48097,10.35121674
1599,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11076.93166,0,8521.63636,0,6046.120947,0,5571.256693,0,5408.46604,0,6032.116338,0,10240.48097,10.35121674
1600,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11083.93166,0,8527.63636,0,6051.120947,0,5576.256693,0,5417.46604,0,6042.116338,0,10254.48097,10.35121674
1601,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11090.93166,0,8533.63636,0,6056.120947,0,5581.256693,0,5426.46604,0,6052.116338,0,10268.48097,10.35121674
1602,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11097.93166,0,8539.63636,0,6061.120947,0,5586.256693,0,5435.46604,0,6062.116338,0,10282.48097,10.35121674
1603,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11105.44322,0,8545.63636,0,6066.120947,0,5591.256693,0,5444.46604,0,6072.116338,0,10296.48097,10.35121674
1604,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11112.44322,0,8551.63636,0,6071.120947,0,5596.256693,0,5453.46604,0,6082.116338,0,10310.48097,10.35121674
1605,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11119.44322,0,8557.63636,0,6076.120947,0,5600.319451,0,5462.46604,0,6092.116338,0,10324.48097,10.35121674
1606,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11126.44322,0,8563.63636,0,6081.120947,0,5604.319451,0,5471.46604,0,6102.116338,0,10338.48097,10.35121674
1607,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11133.44322,0,8569.63636,0,6086.120947,0,5608.319451,0,5480.46604,0,6112.116338,0,10352.48097,10.35121674
1608,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11140.44322,0,8575.63636,0,6091.469723,0,5612.319451,0,5489.46604,0,6122.116338,0,10366.48097,10.35121674
1609,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11147.44322,0,8581.63636,0,6097.469723,0,5616.319451,0,5498.46604,0,6132.116338,0,10380.48097,10.35121674
1610,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11154.44322,0,8587.63636,0,6103.469723,0,5620.319451,0,5507.46604,0,6142.116338,0,10394.48097,10.35121674
1611,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11161.44322,0,8592.817232,0,6109.469723,0,5624.589217,0,5516.46604,0,6152.116338,0,10408.48097,10.35121674
1612,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11168.44322,0,8597.817232,0,6115.469723,0,5629.589217,0,5525.46604,0,6162.116338,0,10422.48097,10.35121674
1613,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11175.44322,0,8602.817232,0,6121.469723,0,5634.589217,0,5534.46604,0,6172.116338,0,10436.48097,10.35121674
1614,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,87.5,0,129.7657503,1.150135193,132.9167116,0,112.5,0,87.5,0,87.5,0,129.5113122,0,292.2999658,0,680.6599348,1.150135193,11182.072,0,8607.817232,0,6126.797681,0,5639.589217,0,5543.46604,0,6182.116338,0,10450.48097,10.35121674
