Simulation Time,Conveyor:Statistics:PartsMinTime,Pick And Place Process:Statistics:PartsMinTime,Conveyor #2:Statistics:PartsMinTime,Pick And Place Process #2:Statistics:PartsMinTime,Conveyor #3:Statistics:PartsMinTime,Pick And Place Process #3:Statistics:PartsMinTime,Conveyor #4:Statistics:PartsMinTime,Pick And Place Process #4:Statistics:PartsMinTime,Conveyor #5:Statistics:PartsMinTime,Pick And Place Process #5:Statistics:PartsMinTime,Conveyor #6:Statistics:PartsMinTime,Pick And Place Process #6:Statistics:PartsMinTime,Conveyor #7:Statistics:PartsMinTime,Conveyor #8:Statistics:PartsMinTime,Conveyor:Statistics:PartsMaxTime,Pick And Place Process:Statistics:PartsMaxTime,Conveyor #2:Statistics:PartsMaxTime,Pick And Place Process #2:Statistics:PartsMaxTime,Conveyor #3:Statistics:PartsMaxTime,Pick And Place Process #3:Statistics:PartsMaxTime,Conveyor #4:Statistics:PartsMaxTime,Pick And Place Process #4:Statistics:PartsMaxTime,Conveyor #5:Statistics:PartsMaxTime,Pick And Place Process #5:Statistics:PartsMaxTime,Conveyor #6:Statistics:PartsMaxTime,Pick And Place Process #6:Statistics:PartsMaxTime,Conveyor #7:Statistics:PartsMaxTime,Conveyor #8:Statistics:PartsMaxTime,Conveyor:Statistics:PartsTotalTime,Pick And Place Process:Statistics:PartsTotalTime,Conveyor #2:Statistics:PartsTotalTime,Pick And Place Process #2:Statistics:PartsTotalTime,Conveyor #3:Statistics:PartsTotalTime,Pick And Place Process #3:Statistics:PartsTotalTime,Conveyor #4:Statistics:PartsTotalTime,Pick And Place Process #4:Statistics:PartsTotalTime,Conveyor #5:Statistics:PartsTotalTime,Pick And Place Process #5:Statistics:PartsTotalTime,Conveyor #6:Statistics:PartsTotalTime,Pick And Place Process #6:Statistics:PartsTotalTime,Conveyor #7:Statistics:PartsTotalTime,Conveyor #8:Statistics:PartsTotalTime
515,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3178.938845,0,1784.333256,0,806.723136,0,334.6976588,0,5.627785786,0,0,0,0,0
516,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3185.938845,0,1790.333256,0,811.723136,0,338.6976588,0,6.627785786,0,0,0,0,0
517,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3193.373227,0,1796.333256,0,816.723136,0,342.6976588,0,7.627785786,0,0,0,0,0
518,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3200.698907,0,1802.333256,0,821.723136,0,346.6976588,0,8.627785786,0,0,0,0,0
519,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3207.698907,0,1808.333256,0,826.723136,0,350.6976588,0,9.627785786,0,0,0,0,0
520,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3214.698907,0,1814.333256,0,831.723136,0,354.6976588,0,10.62778579,0,0,0,0,0
521,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3221.698907,0,1820.333256,0,837.1938685,0,358.6976588,0,11.62778579,0,0,0,0,0
522,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3228.698907,0,1826.333256,0,843.1938685,0,362.6976588,0,12.62778579,0,0,0,0,0
523,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3235.698907,0,1832.333256,0,849.1938685,0,366.6976588,0,13.62778579,0,0,0,0,0
524,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3242.698907,0,1837.771738,0,855.1938685,0,370.6976588,0,14.62778579,0,0,0,0,0
525,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3249.698907,0,1842.771738,0,861.1938685,0,375.1306916,0,15.62778579,0,0,0,0,0
526,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3256.698907,0,1847.771738,0,867.1938685,0,380.1306916,0,16.62778579,0,0,0,0,0
527,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3263.698907,0,1852.771738,0,873.1938685,0,385.1306916,0,17.62778579,0,0,0,0,0
528,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3270.32769,0,1857.771738,0,878.9297212,0,390.1306916,0,18.62778579,0,0,0,0,0
529,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3276.32769,0,1862.771738,0,883.9297212,0,395.1306916,0,19.62778579,0,0,0,0,0
530,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3282.32769,0,1867.771738,0,888.9297212,0,400.1306916,0,20.62778579,0,0,0,0,0
531,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3288.32769,0,1872.771738,0,893.9297212,0,405.1306916,0,21.81049361,0,0,0,0,0
532,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3294.32769,0,1878.090865,0,898.9297212,0,410.1306916,0,23.81049361,0,0,0,0,0
533,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3300.32769,0,1884.090865,0,903.9297212,0,415.1306916,0,25.81049361,0,0,0,0,0
534,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3306.32769,0,1890.090865,0,908.9297212,0,419.6882192,0,27.81049361,0,0,0,0,0
535,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3312.32769,0,1896.090865,0,913.9297212,0,423.6882192,0,29.81049361,0,0,0,0,0
536,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3318.494401,0,1902.090865,0,918.9297212,0,427.6882192,0,31.81049361,0,0,0,0,0
537,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3325.494401,0,1908.090865,0,923.9297212,0,431.6882192,0,33.81049361,0,0,0,0,0
538,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3332.494401,0,1914.090865,0,928.9297212,0,435.6882192,0,35.81049361,0,0,0,0,0
539,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3339.494401,0,1920.090865,0,933.9297212,0,439.6882192,0,37.81049361,0,0,0,0,0
540,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3346.494401,0,1926.090865,0,938.9297212,0,443.6882192,0,39.81049361,0,0,0,0,0
541,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3353.494401,0,1932.090865,0,944.4004537,0,447.6882192,0,41.81049361,0,0,0,0,0
542,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3360.494401,0,1938.090865,0,950.4004537,0,451.6882192,0,43.81049361,0,0,0,0,0
543,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3367.494401,0,1944.090865,0,956.4004537,0,455.6882192,0,45.81049361,0,0,0,0,0
544,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3374.494401,0,1950.090865,0,962.4004537,0,459.6882192,0,47.81049361,0,0,0,0,0
545,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3381.494401,0,1955.378315,0,968.4004537,0,463.6882192,0,49.81049361,0,0,0,0,0
546,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3388.494401,0,1961.378315,0,974.4004537,0,468.5353326,0,51.81049361,0,0,0,0,0
547,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3395.494401,0,1967.378315,0,980.4004537,0,473.5353326,0,53.81049361,0,0,0,0,0
548,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3402.07769,0,1973.378315,0,986.4004537,0,478.5353326,0,55.81049361,0,0,0,0,0
549,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3408.07769,0,1979.378315,0,991.9903467,0,483.5353326,0,57.81049361,0,0,0,0,0
550,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3414.07769,0,1985.378315,0,996.9903467,0,488.5353326,0,59.81049361,0,0,0,0,0
551,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3420.07769,0,1991.378315,0,1001.990347,0,493.5353326,0,61.81049361,0,0,0,0,0
552,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3426.07769,0,1997.378315,0,1006.990347,0,498.5353326,0,64.5976813,0,0,0,0,0
553,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3432.07769,0,2003.378315,0,1011.990347,0,502.5525692,0,67.5976813,0,0,0,0,0
554,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3438.07769,0,2009.378315,0,1016.990347,0,506.5525692,0,70.5976813,0,0,0,0,0
555,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3444.07769,0,2015.378315,0,1021.990347,0,510.5525692,0,73.5976813,0,0,0,0,0
556,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3450.07769,0,2021.378315,0,1026.990347,0,514.5525692,0,76.5976813,0,0,0,0,0
557,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3456.512072,0,2027.378315,0,1031.990347,0,518.5525692,0,79.5976813,0,0,0,0,0
558,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3463.512072,0,2033.378315,0,1036.990347,0,522.5525692,0,82.5976813,0,0,0,0,0
559,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3470.512072,0,2040.35898,0,1041.990347,0,526.5525692,0,85.5976813,0,0,0,0,0
560,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3477.512072,0,2047.35898,0,1046.990347,0,530.5525692,0,88.5976813,0,0,0,0,0
561,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3484.512072,0,2054.35898,0,1051.990347,0,534.5525692,0,91.5976813,0,0,0,0,0
562,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3491.512072,0,2061.35898,0,1056.990347,0,538.5525692,0,94.5976813,0,0,0,0,0
563,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3498.512072,0,2068.35898,0,1062.900454,0,542.5525692,0,97.5976813,0,0,0,0,0
564,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3505.512072,0,2074.842956,0,1068.900454,0,546.5525692,0,100.5976813,0,0,0,0,0
565,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3512.512072,0,2080.842956,0,1074.900454,0,550.5525692,0,103.5976813,0,0,0,0,0
566,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3519.512072,0,2086.842956,0,1080.900454,0,554.8677762,0,106.5976813,0,0,0,0,0
567,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3527.370775,0,2092.842956,0,1086.900454,0,559.8677762,0,109.5976813,0,0,0,0,0
568,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3535.370775,0,2098.842956,0,1092.213655,0,564.8677762,0,112.5976813,0,0,0,0,0
569,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3542.696454,0,2104.842956,0,1097.213655,0,569.8677762,0,115.5976813,0,0,0,0,0
570,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3549.696454,0,2110.842956,0,1102.213655,0,574.8677762,0,119.3129697,0,0,0,0,0
571,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3556.696454,0,2116.842956,0,1107.213655,0,579.8677762,0,123.3129697,0,0,0,0,0
572,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3563.696454,0,2122.904475,0,1112.213655,0,584.8677762,0,127.3129697,0,0,0,0,0
573,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3570.696454,0,2129.904475,0,1117.213655,0,589.1074568,0,131.3129697,0,0,0,0,0
574,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3577.696454,0,2136.904475,0,1122.213655,0,593.1074568,0,135.3129697,0,0,0,0,0
575,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3584.696454,0,2143.904475,0,1127.213655,0,597.1074568,0,139.3129697,0,0,0,0,0
576,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3591.696454,0,2150.904475,0,1132.213655,0,601.1074568,0,143.3129697,0,0,0,0,0
577,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3598.696454,0,2157.904475,0,1137.213655,0,605.1074568,0,147.3129697,0,0,0,0,0
578,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3606.130837,0,2164.904475,0,1142.213655,0,609.1074568,0,151.3129697,0,0,0,0,0
579,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3614.130837,0,2171.904475,0,1147.213655,0,613.1074568,0,155.3129697,0,0,0,0,0
580,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3622.130837,0,2178.904475,0,1152.213655,0,617.1074568,0,159.3129697,0,0,0,0,0
581,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3630.130837,0,2185.904475,0,1156.767432,0,621.1074568,0,163.3129697,0,0,0,0,0
582,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3638.130837,0,2192.904475,0,1161.767432,0,625.1074568,0,167.3129697,0,0,0,0,0
583,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3646.130837,0,2199.904475,0,1166.767432,0,629.1074568,0,171.3129697,0,0,0,0,0
584,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3654.130837,0,2206.904475,0,1171.767432,0,633.1074568,0,175.3129697,0,0,0,0,0
585,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3662.130837,0,2213.085347,0,1176.767432,0,637.1074568,0,179.3129697,0,0,0,0,0
586,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3670.130837,0,2219.085347,0,1181.767432,0,641.9188255,0,183.3129697,0,0,0,0,0
587,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3678.130837,0,2225.085347,0,1186.767432,0,646.9188255,0,187.3129697,0,0,0,0,0
588,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3685.987376,0,2231.085347,0,1191.767432,0,651.9188255,0,191.3129697,0,0,0,0,0
589,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3692.987376,0,2237.085347,0,1196.767432,0,656.9188255,0,195.3129697,0,0,0,0,0
590,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3699.987376,0,2243.085347,0,1201.767432,0,661.9188255,0,199.3129697,0,0,0,0,0
591,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3706.987376,0,2249.085347,0,1206.767432,0,666.9188255,0,204.0129048,0,0,0,0,0
592,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3713.987376,0,2255.085347,0,1211.767432,0,671.9188255,0,209.0129048,0,0,0,0,0
593,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3720.987376,0,2261.404475,0,1216.767432,0,676.4067219,0,214.0129048,0,0,0,0,0
594,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3727.987376,0,2268.404475,0,1221.767432,0,680.4067219,0,219.0129048,0,0,0,0,0
595,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3734.987376,0,2275.404475,0,1225.854158,0,684.4067219,0,224.0129048,0,0,0,0,0
596,131.75,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,0,0,0,0,0,0,3741.987376,0,2282.404475,0,1229.854158,0,688.4067219,0,229.0129048,0,0,0,0,0
597,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3749.108592,0,2289.404475,0,1233.854158,0,692.4067219,0,233.885119,0,0,0,0,0
598,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3757.108592,0,2296.404475,0,1237.854158,0,696.4183677,0,237.885119,0,0,0,0,0
599,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3765.108592,0,2303.404475,0,1241.854158,0,701.4183677,0,241.885119,0,0,0,0,0
600,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3773.108592,0,2310.404475,0,1245.854158,0,706.4183677,0,245.885119,0,0,0,0,0
601,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3781.108592,0,2317.404475,0,1249.854158,0,711.4183677,0,249.885119,0,0,0,0,0
602,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3789.108592,0,2324.404475,0,1253.854158,0,716.4183677,0,253.885119,0,0,0,0,0
603,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3797.108592,0,2331.404475,0,1258.733793,0,721.4183677,0,257.885119,0,0,0,0,0
604,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3805.108592,0,2338.116206,0,1263.733793,0,726.4183677,0,261.885119,0,0,0,0,0
605,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3813.108592,0,2344.116206,0,1268.733793,0,731.4183677,0,265.885119,0,0,0,0,0
606,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3821.108592,0,2350.116206,0,1273.733793,0,736.4183677,0,269.885119,0,0,0,0,0
607,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3829.108592,0,2356.116206,0,1278.733793,0,741.4183677,0,273.885119,0,0,0,0,0
608,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3837.108592,0,2362.116206,0,1283.733793,0,746.4183677,0,277.885119,0,0,0,0,0
609,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3844.434272,0,2368.116206,0,1287.763061,0,751.4183677,0,281.885119,0,0,0,0,0
610,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3851.434272,0,2374.116206,0,1291.763061,0,756.4183677,0,285.885119,0,0,0,0,0
611,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3858.434272,0,2380.116206,0,1295.763061,0,761.4183677,0,290.7419378,0,0,0,0,0
612,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3865.434272,0,2386.116206,0,1299.763061,0,767.236742,0,295.7419378,0,0,0,0,0
613,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3872.434272,0,2392.904475,0,1303.763061,0,772.3037093,0,300.7419378,0,0,0,0,0
614,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3879.434272,0,2399.904475,0,1307.763061,0,777.3037093,0,305.7419378,0,0,0,0,0
615,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3886.434272,0,2406.904475,0,1311.763061,0,782.3037093,0,310.7419378,0,0,0,0,0
616,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3893.434272,0,2413.904475,0,1315.763061,0,787.3037093,0,315.7419378,0,0,0,0,0
617,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3900.555489,0,2420.904475,0,1319.763061,0,792.3037093,0,320.7419378,0,0,0,0,0
618,131.75,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,132.9167116,0,112.5,0,87.5,0,87.5,0,87.5,0,0,0,0,0,3908.555489,0,2427.904475,0,1323.763061,0,797.3037093,0,325.7419378,0,0,0,0,0
